snapshot,class,admitted_traffic,demand,fulfill_ratio,oracle_admitted_traffic,norm_fulfill,raw_mlu,oracle_mlu,normalized_mlu,disabled_flow,admitted_capacity_ratio
400,High,41.71056365966797,45.574806213378906,0.915211021900177,41.773590087890625,0.9984912276268005,1.0,1.7278752326965332,0.5787454843521118,0.0,1.0
401,High,42.55281066894531,46.09960174560547,0.9230624437332153,42.62327575683594,0.9983468055725098,1.0000003576278687,1.846089243888855,0.5416858196258545,0.0,1.0000003576278687
402,High,43.1583251953125,46.516517639160156,0.9278064370155334,43.18778991699219,0.9993177652359009,1.0000001192092896,1.773905634880066,0.5637279152870178,0.0,1.0000001192092896
403,High,41.75920867919922,45.1319580078125,0.9252691268920898,41.76030349731445,0.9999737739562988,1.0000001192092896,1.7690030336380005,0.5652902126312256,0.0,1.0000001192092896
404,High,41.16570281982422,44.697906494140625,0.9209761023521423,41.22837829589844,0.9984797835350037,1.0000001192092896,1.6488354206085205,0.6064887642860413,0.0,1.0000001192092896
405,High,41.77790832519531,45.856956481933594,0.911048412322998,41.891109466552734,0.9972977042198181,1.000000238418579,1.7663439512252808,0.5661413073539734,0.0,1.000000238418579
406,High,40.391204833984375,43.98003387451172,0.9183986783027649,40.47027587890625,0.9980462193489075,1.0,1.6935205459594727,0.5904858708381653,0.0,1.0
407,High,40.35594940185547,43.46099853515625,0.9285554885864258,40.42744064331055,0.9982315897941589,1.0,1.5797492265701294,0.6330118775367737,0.0,1.0
408,High,40.19792175292969,42.881805419921875,0.9374120831489563,40.206241607666016,0.9997930526733398,1.0,1.533264398574829,0.6522032618522644,0.0,1.0
409,High,40.66234588623047,43.73356628417969,0.929774284362793,40.71149444580078,0.9987927675247192,1.0,1.4927631616592407,0.6698986291885376,0.0,1.0
410,High,41.846309661865234,44.92241668701172,0.9315239787101746,41.8758430480957,0.9992947578430176,1.0000001192092896,1.4732695817947388,0.6787624955177307,0.0,1.0000001192092896
411,High,41.336570739746094,43.658870697021484,0.9468080401420593,41.347801208496094,0.9997283816337585,1.0000001192092896,1.447218656539917,0.6909806728363037,0.0,1.0000001192092896
412,High,40.12535095214844,42.69314956665039,0.9398545622825623,40.125614166259766,0.9999934434890747,1.0000001192092896,1.5336265563964844,0.6520493030548096,0.0,1.0000001192092896
